ligand_id,component_id,status,source_smiles,canonical_smiles,smiles_source,source_locator,source_count
770,3AC,resolved,CCC1=C(NC(=O)C(=C1Oc2cccc(c2)C=CC#N)I)C,CCc1c(C)[nH]c(=O)c(I)c1Oc1cccc(C=CC#N)c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
1339,3BZ,resolved,c1cc(cc(c1)Cl)C(=O)O,O=C(O)c1cccc(Cl)c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
2615,3DA,resolved,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H](C[C@H](O3)COP(=O)(O)O)O)N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)C[C@H]1O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,1
922,3EM,resolved,CCN(CC)c1ccc2c(c1)OC(=O)C=C2COC(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc3ccccc3)C[C@@H]([C@H](Cc4ccccc4)NC(=O)OCc5cncs5)O,CCN(CC)c1ccc2c(COC(=O)N[C@H](C(=O)N[C@@H](Cc3ccccc3)C[C@H](O)[C@H](Cc3ccccc3)NC(=O)OCc3cncs3)C(C)C)cc(=O)oc2c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
923,3EN,resolved,CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)C[C@@H]([C@H](Cc2ccccc2)NC(=O)OCc3cncs3)O)N,CC(C)[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
1366,3EU,resolved,c1c(cc(cc1Cl)Cl)CC(=O)O,O=C(O)Cc1cc(Cl)cc(Cl)c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
667,3GM,resolved,c1ccc2c(c1)C[C@@H]([C@@H]2Cc3ccc4c(c3C(=O)O)OC[C@@H](O4)CCC(=O)O)NC(=O)CCCN,NCCCC(=O)N[C@H]1Cc2ccccc2[C@H]1Cc1ccc2c(c1C(=O)O)OC[C@H](CCC(=O)O)O2,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,4
1338,3HP,resolved,c1cc(cc(c1)O)CC(=O)O,O=C(O)Cc1cccc(O)c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
795,3IN,resolved,C[C@H]1CC[C@H]([C@H]1NC(=O)[C@H](Cc2ccccc2)C[C@@H](C[N@@]3CCN(C[C@H]3C(=O)NC(C)(C)C)C(=O)c4cnc(c(n4)Cl)N5CCN(CC5)C)O)O,C[C@H]1CC[C@@H](O)[C@H]1NC(=O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(C(=O)c2cnc(N3CCN(C)CC3)c(Cl)n2)C[C@H]1C(=O)NC(C)(C)C,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,7
449,3IP,resolved,c1ccc(cc1)COc2cccnc2N,Nc1ncccc1OCc1ccccc1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
403,3IR,resolved,c1ccc(cc1)[C@@H]2C[C@H]2C(=O)Nc3nccs3,O=C(Nc1nccs1)[C@@H]1C[C@H]1c1ccccc1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,5
284,3JY,resolved,CC1=CN(C(=O)NC1=O)[C@@H]2CC[C@@H](C2)O[C@@H](C(=O)OC)P(=O)(O)O,COC(=O)[C@H](O[C@H]1CC[C@@H](n2cc(C)c(=O)[nH]c2=O)C1)P(=O)(O)O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,7
288,3LQ,resolved,c1ccc(c(c1)OCCN2C=CC(=O)NC2=O)Oc3cccc4c3ccc(c4)C#N,N#Cc1ccc2c(Oc3ccccc3OCCn3ccc(=O)[nH]c3=O)cccc2c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,8
835,3NH,resolved,c1ccc(cc1)C[C@@H]([C@H](C[C@]2(C(=O)C(CN2)[C@H]3c4ccccc4C[C@H]3OC(N)O)Cc5ccccc5)O)NC(=O)OC6CCOC6,NC(O)O[C@@H]1Cc2ccccc2[C@@H]1C1CN[C@@](Cc2ccccc2)(C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC2CCOC2)C1=O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
1098,3NI,resolved,[Ni+3],[Ni+3],Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,5
147,3OB,resolved,CN(C)C1=C(C=C(NC1=O)CC(=O)N2CCc3ccccc3C2)Oc4cc(cc(c4)Cl)C#N,CN(C)c1c(Oc2cc(Cl)cc(C#N)c2)cc(CC(=O)N2CCc3ccccc3C2)[nH]c1=O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
2993,3PH,resolved,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCCCC,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,1
3019,3Q9,resolved,CCC1=C(C(=NC1=O)Cc2c(c(c([nH]2)Cc3c(c(c([nH]3)CC4=NC(=O)C(=C4CC)C)C)CCC(=O)O)CCC(=O)O)C)C,CCC1=C(C)C(Cc2[nH]c(Cc3[nH]c(CC4=NC(=O)C(C)=C4CC)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)=NC1=O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,1
1322,3R6,resolved,CSc1ccc(c(c1)C(=O)O)O,CSc1ccc(O)c(C(=O)O)c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
212,3T1,resolved,COc1cc(cc(c1O)Cl)C2C3=C(CC(CC3=O)c4ccccc4)Nc5ccccc5N2,COc1cc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccccc2)C3)cc(Cl)c1O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,4
100,3TL,resolved,C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@H]([C@@H]([C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)OCc3ccccc3)O)O)NC(=O)OCc4ccccc4,CC(C)[C@H](NC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(C)C,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,44
1499,3TR,resolved,c1[nH]nc(n1)N,Nc1nc[nH]n1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,5
1767,3WL,resolved,c1ccc(cc1)C2=CC(=O)c3c(cc(c(c3O)O)O)O2,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,6
285,3X6,resolved,c1ccc(c(c1)OCCN2C=CC(=O)NC2=O)Oc3cc(cc(c3)Cl)/C=C/C#N,N#C/C=C/c1cc(Cl)cc(Oc2ccccc2OCCn2ccc(=O)[nH]c2=O)c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,7
1333,3XH,resolved,c1cc(cc(c1)O)C(=O)NCC(=O)O,O=C(O)CNC(=O)c1cccc(O)c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
