component_id,source_smiles,source_name,canonical_smiles,chemical_status
DE5,c1csc(n1)NC(=O)CN,Components-smiles-stereo-oe.smi,NCC(=O)Nc1nccs1,resolved
DFA,c1ccc(cc1)C(c2ccccc2)C(=O)O,Components-smiles-stereo-oe.smi,O=C(O)C(c1ccccc1)c1ccccc1,resolved
DGP,c1nc2c(n1[C@H]3C[C@@H]([C@H](O3)COP(=O)(O)O)O)N=C(NC2=O)N,Components-smiles-stereo-oe.smi,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1,resolved
DGT,c1nc2c(n1[C@H]3C[C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O)N=C(NC2=O)N,Components-smiles-stereo-oe.smi,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,resolved
DHL,C(CS)N,Components-smiles-stereo-oe.smi,NCCS,resolved
DIO,C1COCCO1,Components-smiles-stereo-oe.smi,C1COCCO1,resolved
DJR,CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)OC,Components-smiles-stereo-oe.smi,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)cc1,resolved
DJU,CN(C)Cc1c[nH]c2c1cc(cc2)OCc3ccccc3,Components-smiles-stereo-oe.smi,CN(C)Cc1c[nH]c2ccc(OCc3ccccc3)cc12,resolved
DJZ,Cc1cc(cc(c1Oc2ccnc(n2)NC3CCN(CC3)Cc4ccc(cc4)S(=O)(=O)C)C)C#N,Components-smiles-stereo-oe.smi,Cc1cc(C#N)cc(C)c1Oc1ccnc(NC2CCN(Cc3ccc(S(C)(=O)=O)cc3)CC2)n1,resolved
DLU,C[C@@H]1CCO[C@@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCc4ccc(cc4F)F)O,Components-smiles-stereo-oe.smi,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,resolved
DMP,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3ccc(cc3)CO)Cc4ccc(cc4)CO)Cc5ccccc5)O)O,Components-smiles-stereo-oe.smi,O=C1N(Cc2ccc(CO)cc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc(CO)cc1,resolved
DMQ,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)N)Cc4cccc(c4)N)Cc5ccccc5)O)O,Components-smiles-stereo-oe.smi,Nc1cccc(CN2C(=O)N(Cc3cccc(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,resolved
DMX,C[N+](C)(CCCS(=O)(=O)[O-])Cc1ccccc1,Components-smiles-stereo-oe.smi,C[N+](C)(CCCS(=O)(=O)[O-])Cc1ccccc1,resolved
DNE,CCCC[C@H](C(=O)O)N,Components-smiles-stereo-oe.smi,CCCC[C@@H](N)C(=O)O,resolved
DR7,CC(C)(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](CN(Cc2ccc(cc2)c3ccccn3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,Components-smiles-stereo-oe.smi,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,resolved
DRR,CC[C@H](C)[C@H]1C(=O)NCCCOc2ccc(cc2)C[C@@H](C(=O)N1)NC(=O)[C@@H]3Cc4ccc(cc4)OCCCCC(=O)N[C@H](C(=O)N3)C(C)C,Components-smiles-stereo-oe.smi,CC[C@H](C)[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H]2Cc3ccc(cc3)OCCCCC(=O)N[C@@H](C(C)C)C(=O)N2)Cc2ccc(cc2)OCCCNC1=O,resolved
DRS,CC(C)[C@H]1C(=O)N[C@@H](Cc2ccc(cc2)OCCCCC(=O)N1)C(=O)O,Components-smiles-stereo-oe.smi,CC(C)[C@@H]1NC(=O)CCCCOc2ccc(cc2)C[C@@H](C(=O)O)NC1=O,resolved
DZI,c1cc([nH]c1)/C=N/NC(=O)c2cc(c(c(c2)O)O)O,Components-smiles-stereo-oe.smi,O=C(N/N=C/c1ccc[nH]1)c1cc(O)c(O)c(O)c1,resolved
E4F,c1ccc2c(c1)C[C@@H]([C@@H]2Cc3ccc4c(c3C(=O)O)OCO4)NC(=O)CCCCN,Components-smiles-stereo-oe.smi,NCCCCC(=O)N[C@H]1Cc2ccccc2[C@H]1Cc1ccc2c(c1C(=O)O)OCO2,resolved
E58,COc1cc(ccc1OC(=O)c2ccc(o2)[N+](=O)[O-])C(=O)OC,Components-smiles-stereo-oe.smi,COC(=O)c1ccc(OC(=O)c2ccc([N+](=O)[O-])o2)c(OC)c1,resolved
E6I,CCOC(=O)c1cc(c(o1)[N+](=O)[O-])Br,Components-smiles-stereo-oe.smi,CCOC(=O)c1cc(Br)c([N+](=O)[O-])o1,resolved
E81,c1cc(ccc1CO)OC(=O)c2ccc(s2)[N+](=O)[O-],Components-smiles-stereo-oe.smi,O=C(Oc1ccc(CO)cc1)c1ccc([N+](=O)[O-])s1,resolved
E9B,c1ccc(cc1)/C=C/c2nnc(o2)SC(=O)c3ccc(s3)[N+](=O)[O-],Components-smiles-stereo-oe.smi,O=C(Sc1nnc(/C=C/c2ccccc2)o1)c1ccc([N+](=O)[O-])s1,resolved
ECW,CC(C)(C)N(Cc1ccccc1)C(=O)COC(=O)c2cc(c(o2)[N+](=O)[O-])Br,Components-smiles-stereo-oe.smi,CC(C)(C)N(Cc1ccccc1)C(=O)COC(=O)c1cc(Br)c([N+](=O)[O-])o1,resolved
EDM,CN(C)c1cc(nc(n1)S(=O)(=O)C)C=C,Components-smiles-stereo-oe.smi,C=Cc1cc(N(C)C)nc(S(C)(=O)=O)n1,resolved
EDT,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Components-smiles-stereo-oe.smi,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,resolved
EE2,c1ccc\2c(c1)C[C@@H](/C2=C/c3ccc4c(c3C(=O)O)OC[C@H](O4)CCC(=O)O)O,Components-smiles-stereo-oe.smi,O=C(O)CC[C@@H]1COc2c(ccc(/C=C3\c4ccccc4C[C@@H]3O)c2C(=O)O)O1,resolved
EFZ,c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F,Components-smiles-stereo-oe.smi,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,resolved
EGI,CCOC(=O)c1ccc(s1)[N+](=O)[O-],Components-smiles-stereo-oe.smi,CCOC(=O)c1ccc([N+](=O)[O-])s1,resolved
EIC,CCCCC\C=C/C\C=C/CCCCCCCC(=O)O,Components-smiles-stereo-oe.smi,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,resolved
EJ9,Cc1ccc(cc1C)c2c(c(c(c(c2NS(=O)(=O)C)C)[C@@H](C(=O)O)OC(C)(C)C)c3ccc4c(c3)CCCO4)C,Components-smiles-stereo-oe.smi,Cc1ccc(-c2c(C)c(-c3ccc4c(c3)CCCO4)c([C@H](OC(C)(C)C)C(=O)O)c(C)c2NS(C)(=O)=O)cc1C,resolved
EJM,CCCC[C@@H](C=O)N,Components-smiles-stereo-oe.smi,CCCC[C@H](N)C=O,resolved
EJQ,c1cc(ccc1NC(=O)CN2CCCC2)F,Components-smiles-stereo-oe.smi,O=C(CN1CCCC1)Nc1ccc(F)cc1,resolved
EJW,c1ccc(cc1)c2cc(on2)C[NH3+],Components-smiles-stereo-oe.smi,[NH3+]Cc1cc(-c2ccccc2)no1,resolved
EKZ,CC(C)(C)c1ccc(c(c1)O)O,Components-smiles-stereo-oe.smi,CC(C)(C)c1ccc(O)c(O)c1,resolved
ELA,CCCCCCCC\C=C\CCCCCCCC(=O)O,Components-smiles-stereo-oe.smi,CCCCCCCC/C=C/CCCCCCCC(=O)O,resolved
ELL,C1CNC(=O)[C@@H]1C[C@@H](C=O)N,Components-smiles-stereo-oe.smi,N[C@H](C=O)C[C@@H]1CCNC1=O,resolved
ELQ,CN1CCN(CC1)C(=O)c2ccc(c(c2)F)F,Components-smiles-stereo-oe.smi,CN1CCN(C(=O)c2ccc(F)c(F)c2)CC1,resolved
EO6,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C@H](O)S(=O)(=O)O)NC(=O)OC2CC3(C2)CCN(CC3)C#N,Components-smiles-stereo-oe.smi,CC(C)C[C@H](NC(=O)OC1CC2(CCN(C#N)CC2)C1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C@H](O)S(=O)(=O)O,resolved
EOF,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)/C=C/c2ccccc2,Components-smiles-stereo-oe.smi,CC(C)C[C@H](NC(=O)/C=C/c1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,resolved
EOH,CCO,Components-smiles-stereo-oe.smi,CCO,resolved
EQM,CC(C)(C)[C@@H](C(=O)NCC=C)NC(=O)[C@@](CCCN(Cc1ccc(cc1)Br)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)(Cc2ccccc2)O,Components-smiles-stereo-oe.smi,C=CCNC(=O)[C@@H](NC(=O)[C@@](O)(CCCN(Cc1ccc(Br)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccccc1)C(C)(C)C,resolved
