Ligand	Synonyms
RY	
JDY	
JDV	
A2G	N-acetyl-alpha-D-galactosamine; 2-acetamido-2-deoxy-alpha-D-galactose; 2-acetamido-2-deoxy-D-galactose; 2-acetamido-2-deoxy-galactose; N-ACETYL-2-DEOXY-2-AMINO-GALACTOSE
JYJ	
JYV	
JYY	
JYS	
KJJ	
L3D	
44E	
IY1	Indopy-1
M9A	
MJD	
MVY	
MW4	
MWD	
MWA	
MXJ	
N07	
LMT	
1RY	
N8G	
NJM	
NJA	
NJ4	
NEJ	
NE7	
NF4	
NFJ	
NF7	
NG4	
NJG	
NJ7	
NJ1	
NJJ	
NKA	
NJY	
NQ4	
DCT	
O51	
OR1	
OQY	
OPJ	
OP7	
ORV	
OQG	
OO4	
OQD	
OQA	
OQV	
OQP	
OQ7	
P3V	
KLQ	
OZ1	
XXJ	
5MY	
PSF	PHOSPHATIDYLSERINE
Q1D	
B4R	
DLU	Dolutegravir
QAG	
QCG	
QJY	
QK1	
QNG	Lenacapavir
QUW	
QOJ	
G6R	
QZV	
R0J	
R0P	
R0S	
R2A	
R2D	
T1R	
T2R	
R7J	
ARG	
RQG	
S0Y	
SJY	
TK7	
TQM	
TXM	
D4M	2',3'-DIDEOXY-2',3-DIDEHYDROTHYMIDINE 5'-MONOPHOSPHATE; 2',3'-DEHYDRO-2',3'-DEOXY-THYMIDINE 5'-MONOPHOSPHATE
DGP	
7AX	JLJ649
UMY	
UNS	
UO4	
UMV	
UOV	
REK	(2~{R})-2-[[[(2~{R})-1-(6-aminopurin-9-yl)propan-2-yl]oxymethyl-oxidanyl-phosphoryl]amino]butanedioic acid
RE5	(2~{S})-2-[[[(2~{R})-1-(6-aminopurin-9-yl)propan-2-yl]oxymethyl-oxidanyl-phosphoryl]amino]pentanedioic acid
RFE	(2~{S})-2-[[[(2~{R})-1-(6-aminopurin-9-yl)propan-2-yl]oxymethyl-oxidanyl-phosphoryl]amino]-4-methylsulfanyl-butanoic acid
GZ9	
