Ligand,Synonyms
AF8,No synonyms data available
G89,No synonyms data available
3T1,No synonyms data available
5MA,No synonyms data available
M06,No synonyms data available
03G,NBD-556
9Y9,No synonyms data available
076,No synonyms data available
079,No synonyms data available
Y1,No synonyms data available
0NX,No synonyms data available
MMJ,No synonyms data available
BCK,No synonyms data available
BCU,"(3R)-3,4-dihydro-2H-1-benzopyran-3-ylmethanol"
FBB,No synonyms data available
MWP,"6-amino-benzothiophene-1,1-dione"
FBG,No synonyms data available
MPK,No synonyms data available
MOK,No synonyms data available
FMQ,No synonyms data available
DBJ,No synonyms data available
EQM,No synonyms data available
M8Y,No synonyms data available
M8B,No synonyms data available
O3N,No synonyms data available
ZSW,No synonyms data available
ZSV,No synonyms data available
2SS,No synonyms data available
9NS,No synonyms data available
B0T,No synonyms data available
D0T,No synonyms data available
G0T,No synonyms data available
QCH,No synonyms data available
VL4,No synonyms data available
NFW,No synonyms data available
O5U,No synonyms data available
IY7,No synonyms data available
3GM,No synonyms data available
V7H,No synonyms data available
EE2,No synonyms data available
5EY,No synonyms data available
WOP,No synonyms data available
OM3,No synonyms data available
7NV,No synonyms data available
S8Y,No synonyms data available
8P3,No synonyms data available
UJ6,No synonyms data available
K5Q,No synonyms data available
LOZ,No synonyms data available
NZL,No synonyms data available
ONZ,No synonyms data available
U2Z,No synonyms data available
CWU,No synonyms data available
C5Q,No synonyms data available
H75,No synonyms data available
Y7N,No synonyms data available
JDX,No synonyms data available
X0P,No synonyms data available
E4F,No synonyms data available
S3G,No synonyms data available
4VW,No synonyms data available
Q31,No synonyms data available
RVN,No synonyms data available
H39,No synonyms data available
9PA,No synonyms data available
4D2,No synonyms data available
VXO,No synonyms data available
FYM,No synonyms data available
L0Y,No synonyms data available
HLR,No synonyms data available
JNS,No synonyms data available
IV2,No synonyms data available
OM1,No synonyms data available
NVU,No synonyms data available
K1T,No synonyms data available
0JV,No synonyms data available
MK5,No synonyms data available
M73,No synonyms data available
M86,No synonyms data available
0KJ,No synonyms data available
0LM,No synonyms data available
0LL,No synonyms data available
0LK,No synonyms data available
0LJ,No synonyms data available
0KU,No synonyms data available
0KW,No synonyms data available
0L9,No synonyms data available
HGU,No synonyms data available
0LY,NBD-557
0LZ,No synonyms data available
0M1,No synonyms data available
0M4,No synonyms data available
0M5,No synonyms data available
TQ2,No synonyms data available
TQX,No synonyms data available
0OE,No synonyms data available
0OF,No synonyms data available
0OG,No synonyms data available
IOP,No synonyms data available
0TQ,No synonyms data available
IL0,No synonyms data available
ILE,No synonyms data available
0LQ,No synonyms data available
LF2,No synonyms data available
PUK,No synonyms data available
DC0,No synonyms data available
494,No synonyms data available
506,No synonyms data available
G73,No synonyms data available
1BT,No synonyms data available
1C1,"[amino({[(1R,2R)-1-{[(4-chloro-3- fluorophenyl)carbamoyl]formamido}-2,3-dihydro-1H- inden-2-yl]methyl}amino)methylidene]azanium"
NVE,nevirapine phosphonate analogue
G07,No synonyms data available
G08,No synonyms data available
14N,No synonyms data available
LF0,No synonyms data available
1FF,No synonyms data available
1FE,No synonyms data available
1FD,No synonyms data available
1FG,No synonyms data available
J94,No synonyms data available
1F6,No synonyms data available
1JR,No synonyms data available
1ML,No synonyms data available
1OP,No synonyms data available
06B,No synonyms data available
27B,No synonyms data available
G79,No synonyms data available
1QP,No synonyms data available
1RE,No synonyms data available
JLJ,No synonyms data available
1WT,No synonyms data available
1YQ,"(E)-3-(3-bromo-5-(4-chloro-2-(2-(2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)ethoxy)phenoxy)phenyl)acrylonitrile"
1YR,"(E)-3-(3-bromo-5-(4-chloro-2-(2-(2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)ethoxy)phenoxy)phenyl)acrylonitrile"
526,No synonyms data available
525,No synonyms data available
23K,No synonyms data available
23L,No synonyms data available
29T,No synonyms data available
2KW,Doravirine
4BI,No synonyms data available
LF8,No synonyms data available
2RS,No synonyms data available
2RT,No synonyms data available
LF9,No synonyms data available
2SQ,No synonyms data available
YT3,No synonyms data available
1TD,No synonyms data available
VAC,No synonyms data available
F95,No synonyms data available
3JY,No synonyms data available
79G,No synonyms data available
3X6,No synonyms data available
3ZM,No synonyms data available
K97,No synonyms data available
3A8,No synonyms data available
3EM,No synonyms data available
3EN,No synonyms data available
G10,No synonyms data available
3LQ,No synonyms data available
UNL,No synonyms data available
G3P,No synonyms data available
43Y,"1,2-dipropionyl-sn-glycero-3-phosphocholine"
45F,No synonyms data available
45W,No synonyms data available
G64,No synonyms data available
G61,No synonyms data available
QHA,No synonyms data available
C7U,No synonyms data available
C7J,No synonyms data available
C7W,No synonyms data available
C7L,No synonyms data available
ZLP,No synonyms data available
J5L,No synonyms data available
VXL,No synonyms data available
4UY,No synonyms data available
4UX,No synonyms data available
4XO,No synonyms data available
639,No synonyms data available
P4G,No synonyms data available
52U,GRL-0476
52W,GRL-015
52Z,GRL-085
53F,No synonyms data available
5B7,No synonyms data available
5B5,No synonyms data available
5VE,No synonyms data available
5VG,No synonyms data available
5VF,No synonyms data available
5VH,No synonyms data available
15P,PEG 1500
SCN,No synonyms data available
5DV,No synonyms data available
BHC,No synonyms data available
64A,No synonyms data available
PPF,No synonyms data available
65P,No synonyms data available
6EH,No synonyms data available
6EG,No synonyms data available
6EF,No synonyms data available
6EE,No synonyms data available
6FT,No synonyms data available
6FN,No synonyms data available
6FM,No synonyms data available
6KK,No synonyms data available
6KQ,No synonyms data available
6KR,No synonyms data available
IB1,No synonyms data available
G43,No synonyms data available
7SK,No synonyms data available
6XI,No synonyms data available
6W6,No synonyms data available
6YA,No synonyms data available
9VN,No synonyms data available
9VK,No synonyms data available
7AY,JLJ651
FLU,FLUORESCEIN
J63,No synonyms data available
7N1,No synonyms data available
DDS,No synonyms data available
7O7,No synonyms data available
7OA,No synonyms data available
82M,No synonyms data available
83G,No synonyms data available
83J,No synonyms data available
8BG,No synonyms data available
8FM,No synonyms data available
8FP,No synonyms data available
8HD,No synonyms data available
Y55,No synonyms data available
FRZ,FR180204
7GC,"4-methyl-N-[(1,3-thiazol-2-yl)carbamoyl]benzene-1-sulfonamide"
9AY,No synonyms data available
HV9,No synonyms data available
9JP,No synonyms data available
9KG,No synonyms data available
9KD,No synonyms data available
9K7,No synonyms data available
9J1,No synonyms data available
9HY,No synonyms data available
9TV,No synonyms data available
MPO,No synonyms data available
GR7,No synonyms data available
ET9,Entecavir 5'-triphosphate
DGT,No synonyms data available
8Z0,KNI-1657
D4T,No synonyms data available
ZW2,No synonyms data available
CKD,No synonyms data available
CKM,No synonyms data available
CKS,No synonyms data available
CKV,No synonyms data available
CKY,No synonyms data available
CN4,No synonyms data available
G53,No synonyms data available
IHP,"MYO-INOSITOL HEXAKISPHOSPHATE; INOSITOL 1,2,3,4,5,6-HEXAKISPHOSPHATE"
KYN,L-KYNURENINE
K5A,No synonyms data available
K5C,No synonyms data available
BVR,No synonyms data available
GR8,No synonyms data available
GR5,No synonyms data available
GTP,No synonyms data available
FQ4,No synonyms data available
FQ1,No synonyms data available
FCA,alpha-D-fucose; 6-deoxy-alpha-D-galactopyranose; D-fucose; fucose
H9Y,No synonyms data available
GA8,No synonyms data available
GA5,No synonyms data available
HWY,No synonyms data available
J0S,No synonyms data available
J3M,No synonyms data available
J3P,No synonyms data available
T90,No synonyms data available
BA5,XZ462
CXX,"3-chloro-5-(3-(dimethylamino)propyl)-10,11-dihydro-5H-dibenz[b,f]azepine"
TRP,No synonyms data available
B0F,No synonyms data available
