entry_id,deposited_model_num,label_asym_id,component_id,auth_asym_id,auth_seq_id,insertion_code_normalized,mapping_reason_class,algorithm_queue,preflight_mapping_status,heavy_atoms_structural,heavy_atoms_reference,heavy_atoms_mapped,heavy_atom_mapping_fraction,remediation_status,notes
2O4P,1,C,TPV,A,300,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,42,42,24,0.571429,pending,Stage 2I QC-controlled mapping deferral
2QHZ,1,E,MZ2,A,200,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,40,40,34,0.85,pending,Stage 2I QC-controlled mapping deferral
2UPJ,1,C,U02,A,100,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,41,41,39,0.95122,pending,Stage 2I QC-controlled mapping deferral
2VG5,1,C,NNC,A,1551,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,24,24,23,0.958333,pending,Stage 2I QC-controlled mapping deferral
2VG6,1,C,NNB,A,1551,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,24,24,23,0.958333,pending,Stage 2I QC-controlled mapping deferral
2VG7,1,C,NNI,A,1551,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,24,24,23,0.958333,pending,Stage 2I QC-controlled mapping deferral
2WOM,1,C,ZZE,A,1558,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,23,23,21,0.913043,pending,Stage 2I QC-controlled mapping deferral
2WON,1,C,ZZE,A,1558,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,23,23,21,0.913043,pending,Stage 2I QC-controlled mapping deferral
2YNF,1,G,WHU,A,1563,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,29,29,28,0.965517,pending,Stage 2I QC-controlled mapping deferral
2YNG,1,G,WHU,A,1563,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,29,29,28,0.965517,pending,Stage 2I QC-controlled mapping deferral
2YNH,1,D,EUR,A,1560,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,30,30,29,0.966667,pending,Stage 2I QC-controlled mapping deferral
2YNI,1,E,CXD,A,1561,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,28,28,27,0.964286,pending,Stage 2I QC-controlled mapping deferral
2ZD1,1,D,T27,A,557,,P1_EXACT_HEAVY_TOPOLOGY_MCS_PARTIAL,QUEUE_EXACT_GRAPH,partial_adapter_limitation,28,28,24,0.857143,pending,Stage 2I QC-controlled mapping deferral
2ZE2,1,C,T27,A,556,,P1_EXACT_HEAVY_TOPOLOGY_MCS_PARTIAL,QUEUE_EXACT_GRAPH,partial_adapter_limitation,28,28,24,0.857143,pending,Stage 2I QC-controlled mapping deferral
3BGR,1,C,T27,A,556,,P1_EXACT_HEAVY_TOPOLOGY_MCS_PARTIAL,QUEUE_EXACT_GRAPH,partial_adapter_limitation,28,28,24,0.857143,pending,Stage 2I QC-controlled mapping deferral
3BVA,1,D,2NC,B,200,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
3C6T,1,C,M14,A,561,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,33,33,32,0.969697,pending,Stage 2I QC-controlled mapping deferral
3C6U,1,C,M22,A,561,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,28,28,27,0.964286,pending,Stage 2I QC-controlled mapping deferral
3CKT,1,D,YDP,A,2501,,P5_LARGE_GRAPH_DIFFERENCE,QUEUE_CURATION_REVIEW,partial_adapter_limitation,41,41,35,0.853659,pending,Stage 2I QC-controlled mapping deferral
3DOK,1,D,GWJ,A,999,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,34,34,33,0.970588,pending,Stage 2I QC-controlled mapping deferral
3DOL,1,E,GWI,A,999,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,38,38,37,0.973684,pending,Stage 2I QC-controlled mapping deferral
