virus_name,pdb_id,protein
Human immunodeficiency virus 1,1K1U,Protease
Human immunodeficiency virus 1,1K2B,Protease
Human immunodeficiency virus 1,1K2C,Protease
Human immunodeficiency virus 1,1K33,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1K34,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1K5K,Accessory Proteins
Human immunodeficiency virus 1,1K5M,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1K5M,VP Proteins
Human immunodeficiency virus 1,1K6C,Protease
Human immunodeficiency virus 1,1K6P,Protease
Human immunodeficiency virus 1,1K6T,Protease
Human immunodeficiency virus 1,1K6V,Protease
Human immunodeficiency virus 1,1K6Y,Integrase
Human immunodeficiency virus 1,1KJ4,Capsid Protein
Human immunodeficiency virus 1,1KJ4,Protease
Human immunodeficiency virus 1,1KJ7,Capsid Protein
Human immunodeficiency virus 1,1KJ7,Nucleocapsid Protein
Human immunodeficiency virus 1,1KJ7,Protease
Human immunodeficiency virus 1,1KJF,Capsid Protein
Human immunodeficiency virus 1,1KJF,Protease
Human immunodeficiency virus 1,1KJG,Capsid Protein
Human immunodeficiency virus 1,1KJG,Protease
Human immunodeficiency virus 1,1KJG,RNAse H
Human immunodeficiency virus 1,1KJG,Reverse Transcriptase
Human immunodeficiency virus 1,1KJH,Integrase
Human immunodeficiency virus 1,1KJH,Protease
Human immunodeficiency virus 1,1KJH,RNAse H
Human immunodeficiency virus 1,1KLM,Polymerase
Human immunodeficiency virus 1,1KLM,Reverse Transcriptase
Human immunodeficiency virus 1,1KZS,Accessory Proteins
Human immunodeficiency virus 1,1KZT,Accessory Proteins
Human immunodeficiency virus 1,1KZV,Accessory Proteins
Human immunodeficiency virus 1,1L6N,Capsid Protein
Human immunodeficiency virus 1,1LB0,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1LCX,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1LV1,Protease
Human immunodeficiency virus 1,1LVJ,Accessory Proteins
Human immunodeficiency virus 1,1LW0,Reverse Transcriptase
Human immunodeficiency virus 1,1LW2,Reverse Transcriptase
Human immunodeficiency virus 1,1LWC,Reverse Transcriptase
Human immunodeficiency virus 1,1LWE,Reverse Transcriptase
Human immunodeficiency virus 1,1LWF,Reverse Transcriptase
Human immunodeficiency virus 1,1LZQ,Capsid Protein
Human immunodeficiency virus 1,1LZQ,Protease
Human immunodeficiency virus 1,1M0B,Capsid Protein
Human immunodeficiency virus 1,1M0B,Protease
Human immunodeficiency virus 1,1M4P,Capsid Protein
Human immunodeficiency virus 1,1M4Q,Capsid Protein
Human immunodeficiency virus 1,1M8L,Accessory Proteins
Human immunodeficiency virus 1,1M9C,Capsid Protein
Human immunodeficiency virus 1,1M9D,Capsid Protein
Human immunodeficiency virus 1,1M9E,Capsid Protein
Human immunodeficiency virus 1,1M9F,Capsid Protein
Human immunodeficiency virus 1,1M9X,Capsid Protein
Human immunodeficiency virus 1,1M9Y,Capsid Protein
Human immunodeficiency virus 1,1MEQ,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1MER,Protease
Human immunodeficiency virus 1,1MES,Protease
Human immunodeficiency virus 1,1MET,Protease
Human immunodeficiency virus 1,1MEU,Protease
Human immunodeficiency virus 1,1MRW,Protease
Human immunodeficiency virus 1,1MRX,Protease
Human immunodeficiency virus 1,1MSM,Protease
Human immunodeficiency virus 1,1MSN,Protease
Human immunodeficiency virus 1,1MT7,Capsid Protein
Human immunodeficiency virus 1,1MT7,Protease
Human immunodeficiency virus 1,1MT8,Capsid Protein
Human immunodeficiency virus 1,1MT8,Protease
Human immunodeficiency virus 1,1MT9,Capsid Protein
Human immunodeficiency virus 1,1MT9,Protease
Human immunodeficiency virus 1,1MTB,Capsid Protein
Human immunodeficiency virus 1,1MTB,Protease
Human immunodeficiency virus 1,1MTR,Protease
Human immunodeficiency virus 1,1MUI,Protease
Human immunodeficiency virus 1,1MZI,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1MZI,Fusion Protein
Human immunodeficiency virus 1,1N49,Capsid Protein
Human immunodeficiency virus 1,1N49,Protease
Human immunodeficiency virus 1,1N5Y,Reverse Transcriptase
Human immunodeficiency virus 1,1N6Q,Reverse Transcriptase
Human immunodeficiency virus 1,1NAK,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1NCP,Capsid Protein
Human immunodeficiency virus 1,1NCP,Nucleocapsid Protein
Human immunodeficiency virus 1,1NH0,Protease
Human immunodeficiency virus 1,1NIZ,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1NJ0,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1NPA,Protease
Human immunodeficiency virus 1,1NPV,Protease
Human immunodeficiency virus 1,1NPW,Protease
Human immunodeficiency virus 1,1O1W,RNAse H
Human immunodeficiency virus 1,1O1W,Reverse Transcriptase
Human immunodeficiency virus 1,1ODW,Capsid Protein
Human immunodeficiency virus 1,1ODW,Protease
Human immunodeficiency virus 1,1ODX,Capsid Protein
Human immunodeficiency virus 1,1ODX,Protease
Human immunodeficiency virus 1,1ODY,Protease
Human immunodeficiency virus 1,1OHR,Protease
Human immunodeficiency virus 1,1P5A,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1PI7,Accessory Proteins
Human immunodeficiency virus 1,1PI8,Accessory Proteins
Human immunodeficiency virus 1,1PJE,Accessory Proteins
Human immunodeficiency virus 1,1PRO,Polymerase
Human immunodeficiency virus 1,1PRO,Protease
Human immunodeficiency virus 1,1Q1J,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1Q94,Reverse Transcriptase
Human immunodeficiency virus 1,1QA4,Protease
Human immunodeficiency virus 1,1QA5,Protease
Human immunodeficiency virus 1,1QBR,Protease
Human immunodeficiency virus 1,1QBS,Protease
Human immunodeficiency virus 1,1QBT,Protease
Human immunodeficiency virus 1,1QBU,Protease
Human immunodeficiency virus 1,1QD3,Accessory Proteins
Human immunodeficiency virus 1,1QE1,Polymerase
Human immunodeficiency virus 1,1QE1,Reverse Transcriptase
Human immunodeficiency virus 1,1QMC,Integrase
Human immunodeficiency virus 1,1QNZ,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1QR8,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1QR9,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1QS4,Integrase
Human immunodeficiency virus 1,1QS4,Protease
Human immunodeficiency virus 1,1R0A,Reverse Transcriptase
Human immunodeficiency virus 1,1RDH,RNAse H
Human immunodeficiency virus 1,1RDH,Reverse Transcriptase
Human immunodeficiency virus 1,1REV,Protease
Human immunodeficiency virus 1,1REV,Reverse Transcriptase
Human immunodeficiency virus 1,1RL8,Capsid Protein
Human immunodeficiency virus 1,1RL8,Protease
Human immunodeficiency virus 1,1RPI,Protease
Human immunodeficiency virus 1,1RQ9,Protease
Human immunodeficiency virus 1,1RT1,Reverse Transcriptase
Human immunodeficiency virus 1,1RT2,Reverse Transcriptase
Human immunodeficiency virus 1,1RT3,Reverse Transcriptase
Human immunodeficiency virus 1,1RT4,Reverse Transcriptase
Human immunodeficiency virus 1,1RT5,Reverse Transcriptase
Human immunodeficiency virus 1,1RT6,Reverse Transcriptase
Human immunodeficiency virus 1,1RT7,Reverse Transcriptase
Human immunodeficiency virus 1,1RTD,Reverse Transcriptase
Human immunodeficiency virus 1,1RTH,Reverse Transcriptase
Human immunodeficiency virus 1,1RTI,Reverse Transcriptase
Human immunodeficiency virus 1,1RTJ,Reverse Transcriptase
Human immunodeficiency virus 1,1RV7,Protease
Human immunodeficiency virus 1,1RZJ,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1RZK,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1S1T,Reverse Transcriptase
Human immunodeficiency virus 1,1S1U,Reverse Transcriptase
Human immunodeficiency virus 1,1S1V,Reverse Transcriptase
Human immunodeficiency virus 1,1S1W,Reverse Transcriptase
Human immunodeficiency virus 1,1S1X,Reverse Transcriptase
Human immunodeficiency virus 1,1S6P,Polymerase
Human immunodeficiency virus 1,1S6P,Reverse Transcriptase
Human immunodeficiency virus 1,1S6Q,Polymerase
Human immunodeficiency virus 1,1S6Q,Reverse Transcriptase
Human immunodeficiency virus 1,1S8D,Capsid Protein
Human immunodeficiency virus 1,1S9E,Polymerase
Human immunodeficiency virus 1,1S9E,Reverse Transcriptase
Human immunodeficiency virus 1,1S9G,Polymerase
Human immunodeficiency virus 1,1S9G,Reverse Transcriptase
Human immunodeficiency virus 1,1SBG,Protease
Human immunodeficiency virus 1,1SDT,Capsid Protein
Human immunodeficiency virus 1,1SDT,Protease
Human immunodeficiency virus 1,1SDU,Capsid Protein
Human immunodeficiency virus 1,1SDU,Protease
Human immunodeficiency virus 1,1SDV,Capsid Protein
Human immunodeficiency virus 1,1SDV,Protease
Human immunodeficiency virus 1,1SGU,Protease
Human immunodeficiency virus 1,1SH9,Protease
Human immunodeficiency virus 1,1SJE,Capsid Protein
Human immunodeficiency virus 1,1SJE,Polymerase
Human immunodeficiency virus 1,1SP5,Protease
Human immunodeficiency virus 1,1SUQ,Polymerase
Human immunodeficiency virus 1,1SUQ,Reverse Transcriptase
Human immunodeficiency virus 1,1SV5,Polymerase
Human immunodeficiency virus 1,1SV5,Reverse Transcriptase
Human immunodeficiency virus 1,1SZT,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1T03,Reverse Transcriptase
Human immunodeficiency virus 1,1T05,Reverse Transcriptase
Human immunodeficiency virus 1,1T1W,Capsid Protein
Human immunodeficiency virus 1,1T3R,Capsid Protein
Human immunodeficiency virus 1,1T3R,Protease
Human immunodeficiency virus 1,1T7I,Protease
Human immunodeficiency virus 1,1T7J,Protease
Human immunodeficiency virus 1,1T7K,Protease
Human immunodeficiency virus 1,1TAC,Accessory Proteins
Human immunodeficiency virus 1,1TAM,Matrix Protein
Human immunodeficiency virus 1,1TBC,Accessory Proteins
Human immunodeficiency virus 1,1TCX,Polymerase
Human immunodeficiency virus 1,1TCX,Protease
Human immunodeficiency virus 1,1TIV,Accessory Proteins
Human immunodeficiency virus 1,1TJG,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1TJH,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1TJI,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1TKT,Reverse Transcriptase
Human immunodeficiency virus 1,1TKX,Reverse Transcriptase
Human immunodeficiency virus 1,1TKZ,Reverse Transcriptase
Human immunodeficiency virus 1,1TL1,Reverse Transcriptase
Human immunodeficiency virus 1,1TL3,Reverse Transcriptase
Human immunodeficiency virus 1,1TSQ,Capsid Protein
Human immunodeficiency virus 1,1TSQ,Nucleocapsid Protein
Human immunodeficiency virus 1,1TSQ,Protease
Human immunodeficiency virus 1,1TSU,Capsid Protein
Human immunodeficiency virus 1,1TSU,Nucleocapsid Protein
Human immunodeficiency virus 1,1TSU,Protease
Human immunodeficiency virus 1,1TV6,Reverse Transcriptase
Human immunodeficiency virus 1,1TVR,Polymerase
Human immunodeficiency virus 1,1TVR,Protease
Human immunodeficiency virus 1,1TVR,Reverse Transcriptase
Human immunodeficiency virus 1,1TW7,Protease
Human immunodeficiency virus 1,1U57,Capsid Protein
Human immunodeficiency virus 1,1U6U,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U6V,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U8G,Capsid Protein
Human immunodeficiency virus 1,1U8G,Protease
Human immunodeficiency virus 1,1U8H,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U8I,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U8J,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U8K,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U8L,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U8M,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U8N,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U8O,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U8P,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U8Q,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U91,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U92,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U93,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1U95,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1UPH,Capsid Protein
Human immunodeficiency virus 1,1UPH,Matrix Protein
Human immunodeficiency virus 1,1UPJ,Protease
Human immunodeficiency virus 1,1UTS,Accessory Proteins
Human immunodeficiency virus 1,1UTS,Polymerase
Human immunodeficiency virus 1,1UUD,Accessory Proteins
Human immunodeficiency virus 1,1UUD,Polymerase
Human immunodeficiency virus 1,1UUI,Accessory Proteins
Human immunodeficiency virus 1,1UUI,Polymerase
Human immunodeficiency virus 1,1UWB,Polymerase
Human immunodeficiency virus 1,1UWB,Protease
Human immunodeficiency virus 1,1UWB,Reverse Transcriptase
Human immunodeficiency virus 1,1VIJ,Protease
Human immunodeficiency virus 1,1VIK,Protease
Human immunodeficiency virus 1,1VPC,Accessory Proteins
Human immunodeficiency virus 1,1VPU,Accessory Proteins
Human immunodeficiency virus 1,1VRT,Reverse Transcriptase
Human immunodeficiency virus 1,1VRU,Reverse Transcriptase
Human immunodeficiency virus 1,1WBK,Protease
Human immunodeficiency virus 1,1WBM,Protease
Human immunodeficiency virus 1,1WJA,Integrase
Human immunodeficiency virus 1,1WJA,Protease
Human immunodeficiency virus 1,1WJB,Integrase
Human immunodeficiency virus 1,1WJB,Protease
Human immunodeficiency virus 1,1WJC,Integrase
Human immunodeficiency virus 1,1WJC,Protease
Human immunodeficiency virus 1,1WJD,Integrase
Human immunodeficiency virus 1,1WJD,Protease
Human immunodeficiency virus 1,1WJE,Integrase
Human immunodeficiency virus 1,1WJE,Protease
Human immunodeficiency virus 1,1WJE,Polymerase
Human immunodeficiency virus 1,1WJF,Integrase
Human immunodeficiency virus 1,1WJF,Protease
Human immunodeficiency virus 1,1WJF,Polymerase
Human immunodeficiency virus 1,1X9V,Accessory Proteins
Human immunodeficiency virus 1,1XL2,Capsid Protein
Human immunodeficiency virus 1,1XL2,Protease
Human immunodeficiency virus 1,1XL5,Capsid Protein
Human immunodeficiency virus 1,1XL5,Protease
Human immunodeficiency virus 1,1YT9,Protease
